2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - 开始回测程序
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 初始资金: 100000.0
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 回测期间: 2025-04-15 到 2026-04-15
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 策略初始化完成: fast_period=6, slow_period=20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4075.92, 快线: 4089.59, 慢线: 4116.48
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4065.58, 快线: 4074.19, 慢线: 4113.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4123.09, 快线: 4075.05, 慢线: 4111.63
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4128.37, 快线: 4093.82, 慢线: 4111.11
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4131.99, 快线: 4104.53, 慢线: 4111.41
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4134.02, 快线: 4109.83, 慢线: 4112.48
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4082.07, 快线: 4110.85, 慢线: 4111.49
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4117.41, 快线: 4119.49, 慢线: 4111.66
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 买入执行，价格：4127.90，成本：41279.04，佣金 12.38
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4147.23, 快线: 4123.52, 慢线: 4113.34
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4146.63, 快线: 4126.56, 慢线: 4114.82
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4162.88, 快线: 4131.71, 慢线: 4116.84
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4182.59, 快线: 4139.80, 慢线: 4119.16
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4122.68, 快线: 4146.57, 慢线: 4118.66
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4082.47, 快线: 4140.75, 慢线: 4115.79
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4108.57, 快线: 4134.30, 慢线: 4113.66
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4124.19, 快线: 4130.56, 慢线: 4111.97
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4096.60, 快线: 4119.52, 慢线: 4110.90
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4123.14, 快线: 4109.61, 慢线: 4116.27
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 卖出执行，价格：4119.55，成本：41279.04，佣金 12.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 利润记录，毛利润 -83.57，净利润 -108.32
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4133.43, 快线: 4111.40, 慢线: 4119.55
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4129.10, 快线: 4119.17, 慢线: 4120.90
